archivo,seccion,tipo,clave,texto_actual,propuesta_mejora,objetivo_del_cambio
src/lib/translations.ts,header,cta,header.login,Solicitar sesión técnica,,
src/lib/translations.ts,header,cta,header.getQuote,Descargar dossier técnico,,
src/lib/translations.ts,header,ui,header.openMenu,Abrir Menú,,
src/lib/translations.ts,header,ui,header.changeLanguage,Cambiar idioma,,
src/lib/translations.ts,footer,descripcion,footer.tagline,Tecnología de seguridad avanzada para flotas que operan en entornos urbanos complejos.,,
src/lib/translations.ts,footer,ui,footer.followUsOn,Síguenos en,,
src/lib/translations.ts,footer,ui,footer.quickLinks,Enlaces Rápidos,,
src/lib/translations.ts,footer,ui,footer.legal.title,Legal,,
src/lib/translations.ts,footer,enlace,footer.legal.legalNotice,Aviso Legal,,
src/lib/translations.ts,footer,enlace,footer.legal.privacy,Política de Privacidad,,
src/lib/translations.ts,footer,enlace,footer.legal.cookies,Cookies,,
src/lib/translations.ts,footer,legal,footer.copyright,Todos los derechos reservados.,,
src/lib/translations.ts,hero,titular,hero.title,Elimina los puntos ciegos en tu flota y reduce accidentes con visión 360° inteligente,,
src/lib/translations.ts,hero,subtitular,hero.subtitle,Reduce hasta un 40% los accidentes en maniobras urbanas con detección inteligente de riesgos,,
src/lib/translations.ts,hero,descripcion,hero.description,"Sistema avanzado de cámaras 360° con inteligencia artificial para autobuses, camiones y vehículos municipales que detecta peatones, ciclistas y obstáculos en tiempo real. Diseñado para flotas urbanas que priorizan seguridad, prevención y cumplimiento normativo.",,
src/lib/translations.ts,hero,cta,hero.mainCta,Descargar dossier técnico,,
src/lib/translations.ts,hero,cta,hero.secondaryCta,Ver demostración (60s),,
src/lib/translations.ts,hero,prueba_social,hero.trustedBy,Confianza de operadores de transporte y flotas profesionales,,
src/lib/translations.ts,hero,claim,hero.dailyChallenge,Diseñado para autobuses camiones vehículos municipales y flotas que operan en entornos urbanos complejos.,,
src/lib/translations.ts,hero,tag,hero.badges.detectRisks,Detecta peatones y ciclistas,,
src/lib/translations.ts,hero,tag,hero.badges.anticipateCollisions,Reduce incidentes en maniobras,,
src/lib/translations.ts,hero,tag,hero.badges.convertData,Instalable sobre flota existente,,
src/lib/translations.ts,productos,eyebrow,productsSection.eyebrow,Ventajas Clave,,
src/lib/translations.ts,productos,titular,productsSection.title,Seguridad avanzada para flotas con cámaras 360° e inteligencia artificial,,
src/lib/translations.ts,productos,descripcion,productsSection.description,"Vision360IA ayuda a reducir siniestros, reclamaciones y exposición al riesgo en autobuses, camiones y vehículos municipales. Integra visión 360°, detección de peatones y ciclistas y analítica operativa en una sola plataforma diseñada para flotas profesionales.",,
src/lib/translations.ts,productos,cta,productsSection.addToCart,Más Información,,
src/lib/translations.ts,productos,tag,productsSection.badge,Solución industrial para flotas,,
src/lib/translations.ts,productos,titular,productsSection.mainTitle,Una solución orientada a prevenir riesgos y reducir costes operativos,,
src/lib/translations.ts,productos,descripcion,productsSection.mainDescription,"Visión completa alrededor del vehículo, alertas inteligentes en tiempo real y datos accionables para mejorar seguridad, cumplimiento y operación diaria.",,
src/lib/translations.ts,productos,beneficio,productsSection.features.1,Elimina los puntos ciegos del vehículo en maniobras urbanas,,
src/lib/translations.ts,productos,beneficio,productsSection.features.2,Detecta automáticamente peatones ciclistas y obstáculos,,
src/lib/translations.ts,productos,beneficio,productsSection.features.3,Reduce incidentes reclamaciones y costes asociados a la operación,,
src/lib/translations.ts,productos,cta,productsSection.viewAllCases,Ver soluciones para flotas,,
src/lib/translations.ts,faq,eyebrow,faqSection.eyebrow,FAQ Técnico,,
src/lib/translations.ts,faq,titular,faqSection.title,Implementación: Lo que necesitas saber,,
src/lib/translations.ts,faq,descripcion,faqSection.description,Transparencia total. Despejamos las dudas operativas y técnicas más frecuentes para que tomes una decisión informada y segura para tu negocio.,,
src/lib/translations.ts,testimonios,eyebrow,testimonialsSection.eyebrow,Lo que Dicen Nuestros Clientes,,
src/lib/translations.ts,testimonios,titular,testimonialsSection.title,Resultados reales en conductores y gestores de flotas,,
src/lib/translations.ts,testimonios,descripcion,testimonialsSection.description,"La mejor prueba no es la tecnología, sino lo que ocurre cuando una flota reduce incidentes, mejora la maniobra urbana y gana visibilidad operativa.",,
src/lib/translations.ts,contacto,eyebrow,contactSection.eyebrow,Hablemos de tu Proyecto,,
src/lib/translations.ts,contacto,titular,contactSection.title,Hablemos de Ingeniería no de ventas,,
src/lib/translations.ts,contacto,descripcion,contactSection.description,"Cuéntanos cómo opera tu flota y en una sesión técnica de 20–30 minutos definiremos la configuración más eficaz para reducir puntos ciegos, mejorar seguridad urbana y facilitar cumplimiento normativo.",,
src/lib/translations.ts,contacto,prueba_social,contactSection.badges.1,+2.000 vehículos equipados,,
src/lib/translations.ts,contacto,prueba_social,contactSection.badges.2,Integradores: Indra GMV Etra,,
src/lib/translations.ts,contacto,prueba_social,contactSection.badges.3,Operadores: EMT Madrid CRTM ATM…,,
src/lib/translations.ts,contacto,form_label,contactSection.form.name,Nombre Completo,,
src/lib/translations.ts,contacto,form_label,contactSection.form.email,Dirección de Correo Electrónico,,
src/lib/translations.ts,contacto,form_label,contactSection.form.company,Empresa,,
src/lib/translations.ts,contacto,form_label,contactSection.form.role,Cargo / rol,,
src/lib/translations.ts,contacto,form_label,contactSection.form.phone,Teléfono (opcional),,
src/lib/translations.ts,contacto,form_label,contactSection.form.fleetSize,Tamaño de flota,,
src/lib/translations.ts,contacto,form_label,contactSection.form.vehicleTypes,Tipo de vehículos,,
src/lib/translations.ts,contacto,form_label,contactSection.form.mainInterest,Interés principal,,
src/lib/translations.ts,contacto,form_label,contactSection.form.projectHorizon,Horizonte del proyecto,,
src/lib/translations.ts,contacto,form_label,contactSection.form.contactPreference,Preferencia de contacto,,
src/lib/translations.ts,contacto,form_label,contactSection.form.message,Tu Mensaje,,
src/lib/translations.ts,contacto,legal,contactSection.form.privacyLabel,He leído y acepto la,,
src/lib/translations.ts,contacto,legal,contactSection.form.privacyLink,Política de Privacidad,,
src/lib/translations.ts,contacto,consentimiento,contactSection.form.marketingLabel,Quiero recibir información sobre nuevas funcionalidades y casos de éxito (opcional),,
src/lib/translations.ts,contacto,cta,contactSection.form.submitButton,Enviar y solicitar sesión técnica,,
src/lib/translations.ts,contacto,estado,contactSection.form.submitting,Enviando...,,
src/lib/translations.ts,contacto,helper,contactSection.form.footerText,"Tus datos están protegidos. Sin spam. Solo hablamos de seguridad, operación y casos reales en flotas profesionales.",,
src/lib/translations.ts,contacto,cta,contactSection.form.sendButton,Hablar con un especialista →,,
src/lib/translations.ts,contacto,slideover,contactSection.form.slideoverTitle,Descargar dossier técnico,,
src/lib/translations.ts,contacto,slideover,contactSection.form.slideoverSubtitle,"Completa el formulario y recibe la documentación técnica con casos de uso, arquitectura y especificaciones.",,
src/lib/translations.ts,contacto,toast,contactSection.toast.title,¡Mensaje Enviado!,,
src/lib/translations.ts,contacto,toast,contactSection.toast.description,Gracias por contactarnos. Te responderemos pronto.,,
src/lib/translations.ts,contacto,toast,contactSection.toast.downloadSuccess.title,¡Documentación enviada!,,
src/lib/translations.ts,contacto,toast,contactSection.toast.downloadSuccess.description,Tu PDF se está descargando. Un ingeniero te contactará en menos de 24h.,,
src/lib/translations.ts,idioma,ui,languageBanner.title,Sugerencia de idioma,,
src/lib/translations.ts,idioma,ui,languageBanner.suggestion,Parece que prefieres {lang}. ¿Quieres cambiar?,,
src/lib/translations.ts,idioma,cta,languageBanner.confirm,Sí cambiar,,
src/lib/translations.ts,idioma,cta,languageBanner.dismiss,No gracias,,
src/lib/translations.ts,why-us,titular,whyWinfinSection.title,¿Por qué elegir Vision360IA?,,
src/lib/translations.ts,why-us,cta,whyWinfinSection.aboutUsButton,Quiénes somos,,
src/lib/translations.ts,about,titular,aboutPage.hero.title,Quiénes somos,,
src/lib/translations.ts,about,subtitular,aboutPage.hero.subtitle,Más de 20 años impulsando la innovación y la seguridad en el transporte.,,
src/lib/translations.ts,about,cta,aboutPage.hero.cta,Contactar,,
src/lib/translations.ts,about,contenido,aboutPage.sections.mission.title,Nuestra Misión,,
src/lib/translations.ts,about,contenido,aboutPage.sections.mission.text,Proporcionar soluciones tecnológicas de vanguardia que garanticen la máxima seguridad eficiencia y sostenibilidad para flotas de transporte protegiendo vidas y activos a través de la innovación constante.,,
src/lib/translations.ts,about,contenido,aboutPage.sections.vision.title,Nuestra Visión,,
src/lib/translations.ts,about,contenido,aboutPage.sections.vision.text,Ser el partner tecnológico líder a nivel global en sistemas inteligentes para el transporte transformando la manera en que el mundo se mueve un vehículo a la vez.,,
src/lib/translations.ts,about,contenido,aboutPage.sections.whatWeDo.title,Qué Hacemos,,
src/lib/translations.ts,about,contenido,aboutPage.sections.whatWeDo.text,Ofrecemos un ecosistema completo de soluciones tecnológicas para el transporte.,,
src/lib/translations.ts,about,cta,aboutPage.cta.title,¿Listo para transformar tu flota?,,
src/lib/translations.ts,about,cta,aboutPage.cta.text,Hablemos de cómo nuestras soluciones pueden adaptarse a tus necesidades específicas.,,
src/lib/translations.ts,about,cta,aboutPage.cta.button,Solicitar Propuesta,,
src/components/layout/header.tsx,header,nav,header.solutions,Soluciones,,
src/components/layout/header.tsx,header,nav,header.solutionPages.1,ADAS Autobuses,,
src/components/layout/header.tsx,header,nav,header.solutionPages.2,ADAS Camiones,,
src/components/layout/header.tsx,header,nav,header.solutionPages.3,Anti-Atropellos,,
src/components/layout/header.tsx,header,nav,header.solutionPages.4,Vehículos Industriales,,
src/components/layout/header.tsx,header,nav,header.solutionPages.5,Visión Artificial,,
src/components/layout/header.tsx,header,nav,header.solutionPages.6,Recogida de Residuos,,
src/components/layout/header.tsx,menu_movil,ui,header.mobile.title,Menú principal,,
src/components/layout/header.tsx,menu_movil,ui,header.mobile.description,Navega por soluciones páginas principales y cambio de idioma.,,
src/components/layout/header.tsx,menu_movil,tag,header.mobile.badge,B2B Flotas,,
src/components/layout/header.tsx,menu_movil,descripcion,header.mobile.pitch,"Reduce puntos ciegos, mejora seguridad urbana y refuerza cumplimiento en autobuses, camiones y vehículos municipales.",,
src/components/layout/header.tsx,menu_movil,seccion,header.mobile.navLabel,Navegación,,
src/components/layout/header.tsx,menu_movil,seccion,header.mobile.languageLabel,Idioma,,
src/components/layout/footer.tsx,footer,tag,footer.badge,Seguridad B2B para flotas,,
src/components/layout/footer.tsx,footer,titular,footer.title,Reduce siniestros y gana control sobre la operación de tu flota,,
src/components/layout/footer.tsx,footer,descripcion,footer.description,"Diseñamos sistemas ADAS, visión 360° y detección inteligente para autobuses, camiones y vehículos municipales que operan en entornos urbanos exigentes.",,
src/components/layout/footer.tsx,footer,cta,footer.cta,Descargar dossier técnico,,
src/components/ui/cookie-banner.tsx,cookies,ui,cookieBanner.title,Privacidad y cookies,,
src/components/ui/cookie-banner.tsx,cookies,descripcion,cookieBanner.description,"Utilizamos cookies esenciales para que la web funcione y, si lo autorizas, cookies analiticas y de medicion para entender mejor el interes por nuestras soluciones y mejorar la experiencia.",,
src/components/ui/cookie-banner.tsx,cookies,cta,cookieBanner.configureLink,configurar tus preferencias,,
src/components/ui/cookie-banner.tsx,cookies,cta,cookieBanner.moreInfo,Ver politica de cookies,,
src/components/ui/cookie-banner.tsx,cookies,preferencias,cookieBanner.necessary,Cookies necesarias,,
src/components/ui/cookie-banner.tsx,cookies,preferencias,cookieBanner.necessaryHelp,Necesarias para navegacion seguridad y envio de formularios,,
